Monthly Income,Monthly Fixed Expenses,Monthly Variable Expenses,Savings Goal,Impulse Purchases,Uses Budgeting App,Likelihood of Sticking to Budget,Recommendations
7270,1478,502,1579,2,Yes,High,Maintain habits and continue tracking expenses.
860,2556,2454,1363,0,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
5390,775,1751,1821,4,No,Medium,Control impulse purchases and review spending trends.
5191,4014,804,1981,0,No,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
5734,34,2146,1354,7,Yes,Medium,Control impulse purchases and review spending trends.
6265,3152,2731,1663,0,No,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
466,1955,1895,1529,10,No,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
4426,1585,2773,1371,0,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
5578,3943,1570,1496,1,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
8322,3073,960,1254,1,No,High,Maintain habits and continue tracking expenses.
1685,1021,2660,189,5,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
769,3461,1485,1248,6,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
6949,2613,2690,1408,4,No,Medium,Control impulse purchases and review spending trends.
2433,3843,1028,1400,0,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
5311,1500,502,1306,0,Yes,High,Maintain habits and continue tracking expenses.
5051,4798,2814,1981,2,No,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
6420,161,397,632,1,No,High,Maintain habits and continue tracking expenses.
1184,4297,870,627,4,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
4555,1981,2842,972,9,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
3385,995,392,1768,5,No,Medium,Control impulse purchases and review spending trends.
6396,4911,206,1282,6,No,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
8666,3342,1038,1382,3,No,High,Maintain habits and continue tracking expenses.
9274,4551,1881,709,6,No,Medium,Control impulse purchases and review spending trends.
2558,3798,2939,1479,10,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
7849,1275,1484,1434,7,No,Medium,Control impulse purchases and review spending trends.
2047,1016,863,648,10,No,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
2747,337,2790,317,0,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
9167,878,563,1700,5,No,Medium,Control impulse purchases and review spending trends.
9998,1076,1020,1248,7,Yes,Medium,Control impulse purchases and review spending trends.
189,4887,95,1842,4,No,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
2734,3993,1923,1257,3,No,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
3005,4859,1757,683,1,No,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
4658,379,2532,663,5,Yes,Medium,Control impulse purchases and review spending trends.
1899,492,2278,1998,5,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
7734,2062,2796,1850,10,No,Medium,Control impulse purchases and review spending trends.
1267,3884,1678,1397,0,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
1528,64,540,1695,8,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
3556,2568,1059,1631,10,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
3890,2027,2572,1495,5,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
8838,2695,1183,1256,2,Yes,High,Maintain habits and continue tracking expenses.
5393,1495,1722,1715,3,Yes,High,Maintain habits and continue tracking expenses.
8792,391,1819,1136,10,No,Medium,Control impulse purchases and review spending trends.
8433,4514,2625,1853,3,No,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
7513,4474,2729,1520,2,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
2612,3561,2604,441,9,No,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
7041,2278,1597,563,2,No,High,Maintain habits and continue tracking expenses.
9555,3099,2693,1291,2,No,High,Maintain habits and continue tracking expenses.
6235,200,795,1533,3,No,High,Maintain habits and continue tracking expenses.
5486,4875,1051,1830,6,Yes,Low,"Re-evaluate expenses, reduce variable costs, and consider using a budgeting app."
7099,3104,1643,1409,3,No,High,Maintain habits and continue tracking expenses.
